nh	female	married	sepdiv	single	ownhh	white	black	hispan	mobility	age	yrsnh	ses	violence	control
9	0	0	0	1	1	0	1	0	0	20	20	0.791	120.79	399.92
9	1	0	0	0	1	0	1	0	0	52	28	1.7596	NA	419.92
9	1	0	0	1	0	0	1	0	1	32	3.5	-0.2779	100.79	399.92
9	0	0	1	0	1	0	1	0	0	49	46	0.2103	200.79	319.92
9	1	0	0	1	1	0	1	0	2	18	4	-0.873	NA	359.92
9	1	0	0	1	1	0	1	0	0	24	13.75	1.3653	220.79	419.92
9	1	0	0	1	1	0	1	0	0	39	6.6667	2.5623	113.59	479.92
9	0	0	0	0	1	0	1	0	0	45	8	-0.2111	140.79	399.92
9	0	0	0	1	1	0	1	0	1	22	0.3333	2.7559	220.79	299.92
9	0	0	0	1	1	0	1	0	1	30	0.6667	2.4319	140.79	419.92
9	1	0	0	1	1	0	1	0	0	33	28	2.0722	NA	399.92
9	1	0	0	1	0	0	1	0	1	19	2	-0.6838	283.19	422.98
9	1	0	0	1	1	0	1	0	0	57	20.0833	2.4435	140.79	439.92
9	1	0	1	0	1	0	1	0	2	31	0.5	1.25	100.79	399.92
9	1	0	1	0	0	0	1	0	1	46	2	2.2181	NA	439.92
9	1	0	0	1	0	0	1	0	1	26	3	1.1224	359.83	419.92
10	1	0	0	1	1	0	0	1	0	29	18.0833	0.52	104.83	439.92
10	1	0	0	0	1	1	0	0	0	81	33.9167	0.5918	180.78	279.92
10	1	0	0	1	0	0	0	1	1	25	0.0833	1.6847	246.78	339.92
10	1	1	0	0	1	1	0	0	0	48	15.5	1.581	200.78	479.92
10	1	1	0	0	0	1	0	0	0	34	1.4682	0.5542	100.78	279.92
10	1	1	0	0	1	1	0	0	0	75	26.5833	0.1449	100.78	499.92
10	0	1	0	0	1	1	0	0	0	49	19.6667	2.3582	100.78	359.92
10	1	0	0	1	1	1	0	0	1	33	1.5	0.4082	140.78	479.92
10	1	0	0	0	1	1	0	0	1	72	10	0.6963	140.78	319.92
10	1	0	0	0	0	1	0	0	0	74	35	-0.15	200.78	459.92
10	0	0	1	0	0	1	0	0	0	100	22	-1.4789	93.16	399.92
10	0	0	1	0	1	1	0	0	0	53	11	1.3796	120.78	419.92
10	1	0	0	0	1	1	0	0	0	82	25.75	0.6007	120.78	459.92
10	1	0	0	0	1	1	0	0	0	81	27.4167	-0.3199	312.21	359.92
10	1	0	0	0	0	1	0	0	3	79	0.4167	-1.4181	196.07	439.92
10	0	1	0	0	1	1	0	0	1	50	1	2.1875	100.78	479.92
10	1	1	0	0	0	1	0	0	1	43	30	0.1591	100.78	359.92
11	1	0	1	0	0	0	0	1	2	31	2.75	-1.2581	220.79	319.92
11	0	1	0	0	1	1	0	0	0	65	6	1.7504	180.79	439.92
11	1	0	1	0	1	0	0	0	1	46	3.5	2.1655	160.79	359.92
11	0	1	0	0	1	0	0	0	2	37	0.1667	2.5611	220.79	399.92
11	0	0	0	1	0	1	0	0	1	43	27.5481	-0.0566	320.79	259.92
11	0	0	0	1	0	1	0	0	2	42	0.5833	0.6662	93.17	319.92
11	1	1	0	0	0	1	0	0	1	26	50.25	-0.0623	200.79	259.92
11	0	0	0	0	0	1	0	0	1	37	1.8333	1.0897	300.79	319.92
11	0	1	0	0	0	0	0	1	1	26	4.6667	-0.7438	326.5	339.92
11	0	1	0	0	0	0	0	0	2	39	1.5	-1.1039	100.79	379.92
11	1	1	0	0	0	1	0	0	4	28	0.75	0.7942	100.79	259.92
12	1	1	0	0	0	1	0	0	0	61	5	0.5892	100.79	359.92
12	1	0	0	0	1	1	0	0	0	67	23.4167	0.6838	105.19	399.92
12	0	1	0	0	1	1	0	0	1	55	4.1667	1.5487	100.79	459.92
12	1	1	0	0	0	1	0	0	1	56	0.3333	-0.1713	91.04	319.92
12	0	1	0	0	0	1	0	0	1	66	2.3333	1.1404	100.79	219.92
